ID,Position,Department,quantity,Salary,year,month,date_mov,base,increase_index,budget_value
10026,Production Technician I,Production       ,1,62506.0,2024,December,,HC,1.22569524,6384.44222
10026,Production Technician I,Production       ,1,62506.0,2024,November,,HC,1.22569524,6384.44222
10026,Production Technician I,Production       ,1,62506.0,2024,October,,HC,1.22569524,6384.44222
10026,Production Technician I,Production       ,1,62506.0,2024,September,,HC,1.1673288,6080.42116
10026,Production Technician I,Production       ,1,62506.0,2024,August,,HC,1.1673288,6080.42116
10026,Production Technician I,Production       ,1,62506.0,2024,July,,HC,1.1673288,6080.42116
10026,Production Technician I,Production       ,1,62506.0,2024,June,,HC,1.1673288,6080.42116
10026,Production Technician I,Production       ,1,62506.0,2024,May,,HC,1.1673288,6080.42116
10026,Production Technician I,Production       ,1,62506.0,2024,April,,HC,1.14444,5961.19722
10026,Production Technician I,Production       ,1,62506.0,2024,March,,HC,1.0404,5419.2702
10026,Production Technician I,Production       ,1,62506.0,2024,February,,HC,1.02,5313.01
10026,Production Technician I,Production       ,1,62506.0,2024,January,,HC,1.02,5313.01
10026,Production Technician I,Production       ,1,62506.0,2023,December,,HC,1.02,5313.01
10026,Production Technician I,Production       ,1,62506.0,2023,November,,HC,1.02,5313.01
10026,Production Technician I,Production       ,1,62506.0,2023,October,,HC,1.0,5208.83333
10026,Production Technician I,Production       ,1,62506.0,2023,September,,HC,1.0,5208.83333
10084,Sr. DBA,IT/IS,1,104437.0,2024,December,,HC,1.22569524,10667.32781
10084,Sr. DBA,IT/IS,1,104437.0,2024,November,,HC,1.22569524,10667.32781
10084,Sr. DBA,IT/IS,1,104437.0,2024,October,,HC,1.22569524,10667.32781
10084,Sr. DBA,IT/IS,1,104437.0,2024,September,,HC,1.1673288,10159.35982
10084,Sr. DBA,IT/IS,1,104437.0,2024,August,,HC,1.1673288,10159.35982
10084,Sr. DBA,IT/IS,1,104437.0,2024,July,,HC,1.1673288,10159.35982
10084,Sr. DBA,IT/IS,1,104437.0,2024,June,,HC,1.1673288,10159.35982
10084,Sr. DBA,IT/IS,1,104437.0,2024,May,,HC,1.1673288,10159.35982
10084,Sr. DBA,IT/IS,1,104437.0,2024,April,,HC,1.14444,9960.15669
10084,Sr. DBA,IT/IS,1,104437.0,2024,March,,HC,1.0404,9054.6879
10084,Sr. DBA,IT/IS,1,104437.0,2024,February,,HC,1.02,8877.145
10084,Sr. DBA,IT/IS,1,104437.0,2024,January,,HC,1.02,8877.145
10084,Sr. DBA,IT/IS,1,104437.0,2023,December,,HC,1.02,8877.145
10084,Sr. DBA,IT/IS,1,104437.0,2023,November,,HC,1.02,8877.145
10084,Sr. DBA,IT/IS,1,104437.0,2023,October,,HC,1.0,8703.08333
10084,Sr. DBA,IT/IS,1,104437.0,2023,September,,HC,1.0,8703.08333
10196,Production Technician II,Production       ,1,64955.0,2024,December,,HC,1.22569524,6634.58619
10196,Production Technician II,Production       ,1,64955.0,2024,November,,HC,1.22569524,6634.58619
10196,Production Technician II,Production       ,1,64955.0,2024,October,,HC,1.22569524,6634.58619
10196,Production Technician II,Production       ,1,64955.0,2024,September,,HC,1.1673288,6318.65352
